,label,clickTime,conversionTime,creativeID,userID,userAge,userGender,userEducation,usermarriageStatus,userHaveBaby,appCategory
0,0,170000,,3089,2798058,25,2,1,3,1,104
1,0,170000,,1259,463234,20,2,1,1,0,211
2,0,170000,,4465,1857485,16,1,1,0,0,110
3,0,170000,,1004,2038823,0,0,0,0,0,0
4,0,170000,,1887,2015141,35,1,2,2,0,0
5,0,170000,,3293,1177829,30,2,1,2,1,0
6,0,170000,,4793,1257450,24,2,2,1,0,402
7,0,170000,,1456,764204,15,2,3,0,0,0
8,0,170000,,4465,1438585,19,1,1,1,0,110
9,0,170000,,985,1750317,19,1,1,1,0,209
10,0,170000,,3465,2079582,19,1,0,2,1,104
11,0,170000,,2764,2551467,8,2,0,2,1,106
12,0,170000,,997,2120928,25,1,2,1,0,301
13,0,170000,,997,2292736,21,2,1,2,1,301
14,0,170000,,4465,1119329,18,1,1,0,0,110
15,0,170000,,3465,2256911,38,2,1,2,1,104
16,0,170000,,3846,554021,30,1,0,2,1,401
17,0,170000,,6490,1666508,23,2,1,0,1,209
18,0,170000,,5187,1082944,18,1,1,1,0,203
19,0,170000,,1456,2437627,15,1,3,1,0,0
20,0,170000,,4686,1658851,22,2,2,0,1,407
21,0,170000,,4250,2009709,0,0,0,0,0,106
22,0,170000,,4465,1746056,0,0,3,0,0,110
23,0,170000,,3575,1111108,38,2,3,2,1,401
24,0,170000,,3531,402769,28,2,1,0,1,0
25,0,170000,,5187,2428743,32,1,0,0,0,203
26,0,170000,,3465,90746,21,1,0,0,0,104
27,0,170000,,2137,217320,17,1,3,0,0,402
28,0,170000,,4250,1443907,0,0,0,0,0,106
29,0,170000,,726,912898,18,1,3,0,0,0
30,0,170000,,1087,2735855,25,2,6,0,1,408
31,0,170000,,3745,636433,26,2,0,0,0,401
32,0,170000,,3293,1287114,29,2,1,0,1,0
33,0,170000,,1456,1035144,30,1,2,2,0,0
34,0,170000,,4757,496624,18,2,1,3,0,407
35,0,170000,,594,2767256,10,1,4,1,0,0
36,0,170000,,2235,2771830,20,2,1,1,0,0
37,0,170000,,5176,1580281,29,2,1,0,1,108
38,0,170000,,1456,2020319,15,2,1,1,0,0
39,0,170000,,5187,2648446,22,1,3,3,0,203
40,0,170000,,2764,1149873,18,1,1,0,2,106
41,0,170000,,4432,865987,42,1,0,2,0,203
42,0,170000,,4250,2576879,23,1,1,1,0,106
43,0,170000,,1259,1828019,21,2,0,0,1,211
44,0,170000,,4432,447566,20,1,1,1,0,203
45,0,170000,,5186,2664334,25,1,6,0,1,402
46,0,170000,,6514,2326774,0,0,1,2,0,106
47,0,170000,,4444,1706310,29,1,0,2,0,402
48,0,170000,,1887,1455072,21,1,2,0,2,0
49,0,170000,,2537,260228,14,2,4,0,0,106
50,0,170000,,1259,2687344,43,2,3,2,1,211
51,0,170000,,4465,30822,17,2,1,3,1,110
52,0,170000,,1087,2131068,0,2,1,0,1,408
53,0,170000,,4169,1050004,27,2,1,3,1,0
54,0,170000,,4465,1948014,15,2,2,0,0,110
55,0,170000,,1259,2090110,29,2,3,1,0,211
56,0,170000,,3465,455096,21,1,2,0,0,104
57,0,170000,,2137,2431934,24,1,5,1,0,402
58,0,170000,,1675,1341039,46,2,4,2,0,203
59,0,170000,,2374,422668,24,2,1,0,2,109
60,0,170000,,5588,1396504,0,2,0,2,0,0
61,0,170000,,4432,2230567,14,2,3,0,0,203
62,0,170000,,2137,216697,26,1,2,0,0,402
63,0,170000,,2537,1770694,22,2,5,3,0,106
64,0,170000,,1456,455555,28,1,1,1,0,0
65,0,170000,,4793,329465,30,2,1,0,4,402
66,0,170000,,1087,356301,21,1,1,1,0,408
67,0,170000,,4465,677014,45,1,2,2,0,110
68,0,170000,,520,1156145,22,1,1,1,0,503
69,0,170000,,4465,1058493,28,1,2,1,0,110
70,0,170000,,4465,956813,21,1,0,1,0,110
71,0,170000,,784,1192225,27,2,1,3,1,0
72,0,170000,,2537,260228,14,2,4,0,0,106
73,0,170000,,1456,2419883,31,1,0,2,0,0
74,0,170000,,1456,2802491,21,2,0,0,1,0
75,0,170000,,3444,560971,0,0,3,0,0,0
76,0,170000,,3745,1219132,26,2,2,1,0,401
77,0,170000,,4465,1790449,30,2,1,2,1,110
78,0,170000,,2230,1353550,18,2,1,0,0,0
79,0,170000,,2849,373870,26,2,3,1,0,503
80,0,170000,,1259,315222,28,2,1,2,1,211
81,0,170000,,5187,743226,16,1,2,1,0,203
82,0,170000,,1456,2011718,2,2,4,0,0,0
83,0,170000,,2537,2655536,20,2,0,0,0,106
84,0,170000,,5656,1132899,21,1,0,1,0,211
85,0,170000,,4465,2396232,47,1,3,2,0,110
86,0,170000,,4432,1349540,23,1,0,1,0,203
87,0,170000,,3465,2426440,22,1,3,1,0,104
